note, finger
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
67, 4
