note, finger
60, 0
64, 1
60, 0
62, 1
59, 0
60, 1
64, 3
60, 1
65, 4
64, 3
62, 2
65, 4
64, 3
62, 2
64, 0
65, 0
67, 1
69, 2
67, 1
65, 0
69, 2
71, 3
69, 2
67, 1
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
65, 3
64, 2
67, 4
60, 0
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
67, 1
65, 0
72, 4
71, 3
67, 1
65, 2
64, 2
62, 1
67, 4
64, 2
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
67, 1
71, 3
69, 2
65, 0
64, 2
62, 1
64, 2
60, 0
69, 4
67, 0
67, 3
64, 1
60, 0
62, 1
64, 2
65, 0
72, 4
71, 3
67, 1
69, 2
71, 0
72, 1
79, 3
77, 4
77, 3
74, 1
76, 2
76, 2
74, 1
72, 4
79, 4
72, 0
81, 4
79, 3
72, 0
77, 2
76, 1
79, 3
74, 0
77, 2
76, 1
79, 3
74, 3
74, 0
77, 2
76, 1
74, 0
76, 0
72, 4
84, 4
83, 4
72, 0
84, 4
72, 0
76, 1
77, 1
79, 2
81, 0
72, 0
76, 0
79, 2
77, 1
76, 0
79, 2
77, 1
76, 0
74, 2
72, 1
71, 0
74, 2
72, 1
71, 0
72, 1
74, 2
76, 3
72, 1
77, 4
72, 1
79, 4
72, 1
79, 4
77, 2
76, 2
74, 1
77, 3
76, 2
72, 0
79, 4
72, 0
77, 2
76, 2
74, 1
76, 2
72, 0
