note, finger
60, 2
64, 2
62, 1
65, 3
64, 2
67, 4
65, 3
64, 2
62, 1
65, 3
64, 2
67, 4
65, 3
62, 1
64, 2
60, 0
62, 1
64, 2
65, 3
64, 2
67, 4
65, 3
62, 1
64, 2
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
64, 2
65, 3
64, 2
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
65, 3
64, 2
62, 1
64, 2
60, 0
62, 1
60, 0
64, 2
60, 0
65, 3
60, 0
67, 4
60, 0
65, 3
60, 0
64, 2
60, 0
62, 1
65, 3
64, 2
67, 4
62, 1
65, 3
64, 2
62, 1
64, 2
60, 1
62, 1
64, 2
65, 3
64, 2
62, 1
67, 4
62, 1
65, 3
64, 2
62, 1
64, 2
65, 3
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
64, 2
60, 0
67, 0
65, 3
64, 2
62, 1
65, 3
64, 2
62, 1
60, 0
67, 4
65, 3
64, 2
62, 1
65, 3
64, 2
62, 1
60, 2
64, 2
62, 1
65, 3
64, 2
67, 3
65, 3
64, 2
62, 1
65, 3
64, 2
60, 1
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
64, 2
60, 0
65, 3
64, 2
67, 4
62, 1
65, 3
64, 2
60, 0
65, 3
62, 1
67, 4
64, 2
65, 3
62, 1
64, 2
60, 3
65, 3
62, 1
67, 4
64, 2
65, 3
62, 1
64, 2
60, 2
65, 2
62, 2
67, 2
64, 2
65, 3
62, 1
64, 2
60, 0
62, 1
65, 3
64, 2
67, 4
62, 1
65, 3
64, 2
60, 3
65, 3
62, 1
67, 4
64, 2
65, 3
62, 1
64, 2
60, 0
62, 1
64, 2
65, 3
64, 2
62, 1
64, 2
60, 0
67, 4
62, 1
65, 3
64, 2
60, 0
