note, finger
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 3
79, 0
81, 1
83, 2
84, 3
83, 2
81, 1
79, 2
77, 2
76, 1
74, 0
72, 3
71, 2
69, 1
67, 0
65, 2
64, 0
62, 0
60, 1
62, 0
64, 1
65, 2
67, 3
69, 0
71, 1
72, 0
74, 1
76, 2
77, 3
79, 0
81, 1
83, 2
84, 3
83, 2
81, 1
79, 0
77, 2
76, 1
74, 0
72, 3
71, 2
69, 1
67, 0
65, 2
64, 1
62, 0
60, 1
62, 0
64, 1
65, 2
67, 0
69, 1
71, 2
72, 0
74, 1
76, 2
77, 3
79, 0
81, 1
83, 2
84, 3
83, 2
81, 1
79, 0
77, 2
76, 1
74, 2
72, 2
71, 1
69, 0
67, 1
65, 2
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 3
79, 0
81, 1
83, 2
84, 2
83, 2
81, 1
79, 0
77, 1
76, 3
74, 3
72, 2
71, 1
69, 0
67, 2
65, 1
64, 0
62, 1
60, 0
